20	17	E	-1.3081369295399807E7	200
transitionprobs	8	13	0.004936226332047785
transitionprobs	8	14	0.0
transitionprobs	8	15	0.0
transitionprobs	8	16	0.0
transitionprobs	8	17	0.0
transitionprobs	8	18	0.0
transitionprobs	8	19	9.793379724542535E-4
transitionprobs	8	20	0.006468920674695713
transitionprobs	9	1	0.0
transitionprobs	9	2	0.0
transitionprobs	9	3	2.2008632360783455E-4
transitionprobs	9	4	0.001804164631867252
transitionprobs	9	5	2.4439358337860164E-4
transitionprobs	9	6	0.0016958279851959238
transitionprobs	9	7	0.0021065037903042682
transitionprobs	9	8	0.026293094328383133
transitionprobs	9	9	0.8994140918021606
transitionprobs	9	10	0.007661035274371426
transitionprobs	9	11	0.022081310129815117
transitionprobs	9	12	9.572934442497521E-4
transitionprobs	9	13	0.020591212344751586
transitionprobs	9	14	4.6404615203988865E-5
transitionprobs	9	15	0.0
transitionprobs	9	16	1.8431923731833614E-6
transitionprobs	9	17	0.0017135764633980353
transitionprobs	9	18	9.052112111784133E-6
transitionprobs	9	19	0.0025001022101535653
transitionprobs	9	20	0.0126600077686744
transitionprobs	10	1	0.0
transitionprobs	10	2	0.0
transitionprobs	10	3	0.0
transitionprobs	10	4	0.0
transitionprobs	10	5	0.0
transitionprobs	10	6	0.02280752910502883
transitionprobs	10	7	0.30104998430473306
transitionprobs	10	8	0.002933658569062107
transitionprobs	10	9	0.14656753827593252
transitionprobs	10	10	0.5152555082997347
transitionprobs	10	11	0.003240637878513185
transitionprobs	10	12	0.0
transitionprobs	10	13	0.0
transitionprobs	10	14	0.0
transitionprobs	10	15	0.0
transitionprobs	10	16	0.0
transitionprobs	10	17	0.004281705342533973
transitionprobs	10	18	8.716646058625715E-5
transitionprobs	10	19	6.832031626352693E-5
transitionprobs	10	20	0.003707951447612234
transitionprobs	11	1	2.0258434267808865E-5
transitionprobs	11	2	0.0
transitionprobs	11	3	0.005529700146902293
transitionprobs	11	4	0.015955850649413055
transitionprobs	11	5	0.0
transitionprobs	11	6	6.416520374157793E-4
transitionprobs	11	7	4.157535979263171E-7
transitionprobs	11	8	0.011762979188657149
transitionprobs	11	9	0.3184846081543557
transitionprobs	11	10	0.0015895346984446841
transitionprobs	11	11	0.5459240311085306
transitionprobs	11	12	0.04944968123049385
transitionprobs	11	13	0.03185370895145497
transitionprobs	11	14	0.0
transitionprobs	11	15	0.0
transitionprobs	11	16	0.0
transitionprobs	11	17	0.0017176100413824741
transitionprobs	11	18	6.660906774878249E-4
transitionprobs	11	19	0.004666698994957019
transitionprobs	11	20	0.011737179932638724
transitionprobs	12	1	5.075708252561975E-4
transitionprobs	12	2	0.007876081793409198
transitionprobs	12	3	0.001958943915096738
transitionprobs	12	4	0.0023997510034203316
transitionprobs	12	5	0.0
