HM	CM	ENET_B	SPCN_B	STATE	ENET_RSQ_HM	ENET_RSQ_CM	ENET_RSQ_PROD
CoREST	MI2B	1	1	6	0.517640848090737	0.564431713022769	0.292172910618413
CoREST	REST	1	1	6	0.517640848090737	0.465393941199599	0.240906914418851
CoREST	SUZ12	1	1	6	0.517640848090737	0.0615186777441467	0.0318445805209008
E2F1	KLF4	1	1	6	0.239589193645229	0.404706310214154	0.096963258527345
EZH2	G9A	1	1	6	0.0857948768270754	0.313312807599219	0.0268806337363202
G9A	MBD2T	0	0	6	0.313312807599219	0.316301553347618	0.0991013277273363
HCFC1	MAFK	1	1	6	0.446437277461587	0.289105052997385	0.12906727276054
HCFC1	ZC3H11A	1	1	6	0.446437277461587	0.467236451285202	0.208591769242579
HCFC1	ZNF384	1	1	6	0.446437277461587	0.393907321043828	0.175854911978994
HDAC1	HDAC2	1	1	6	0.388001339508735	0.417079836888343	0.161827535394762
HDAC1	SUZ12	1	1	6	0.388001339508735	0.0615186777441467	0.0238693293695351
HDAC2	SUZ12	1	1	6	0.417079836888343	0.0615186777441467	0.0256582000791153
KDM2A	KDM2B	1	1	6	0.25280858876223	0.341610313236325	0.0863620211958985
KLF4	N_MYC	1	1	6	0.404706310214154	0.405916400344991	0.164276928639033
KLF4	STAT3	1	1	6	0.404706310214154	0.258975095354908	0.104808855278443
KLF4	TCFCP2I1	1	1	6	0.404706310214154	0.266625620180498	0.10790507095181
LSD1	MED12	1	1	6	0.623229143406358	0.581610635565698	0.362476698199638
LSD1	MI2B	1	1	6	0.623229143406358	0.564431713022769	0.351770293018564
MAFK	ZC3H11A	1	1	6	0.289105052997385	0.467236451285202	0.135080419011118
MAFK	ZNF384	1	1	6	0.289105052997385	0.393907321043828	0.113880596926434
MBD2T	TAF1	0	0	6	0.316301553347618	0.373659885729239	0.118189202279851
MED12	MED1	1	1	6	0.581610635565698	0.634264806424959	0.368895157181775
MED1	NIPBL	1	1	6	0.634264806424959	0.516270570660699	0.327452253563011
MI2B	REST	1	1	6	0.564431713022769	0.465393941199599	0.262683099461707
NANOG	OCT4	1	1	6	0.671723177858584	0.664194788776426	0.446155034234012
NANOG	SOX2	1	1	6	0.671723177858584	0.649295017123966	0.436146512270254
NANOG	TCF3	1	1	6	0.671723177858584	0.408368362206598	0.274310493998321
NIPBL	SMC1	1	1	6	0.516270570660699	0.448813330175043	0.231709114089598
NIPBL	SMC3	1	1	6	0.516270570660699	0.322175957875077	0.166329965625323
N_MYC	STAT3	1	1	6	0.405916400344991	0.258975095354908	0.105122238485465
OCT4	SOX2	1	1	6	0.664194788776426	0.649295017123966	0.431258366752239
OCT4	TCF3	1	1	6	0.664194788776426	0.408368362206598	0.271236138078786
POLII	RNAPII_S2P	1	1	6	0.505070648019069	0.382282509948982	0.193079675026288
POLII	RNAPII_S5P	1	1	6	0.505070648019069	0.726989308484773	0.367180961139339
POLII	RNAPII_S7P	1	1	6	0.505070648019069	0.635741574662656	0.321094409087531
RNAPII_S2P	RNAPII_S7P	1	1	6	0.382282509948982	0.635741574662656	0.243032884840959
RNAPII_S5P	RNAPII_S7P	1	1	6	0.726989308484773	0.635741574662656	0.462177327739025
SIN3A	TET1	1	1	6	0.276827714596979	0.292114029283827	0.080865259128357
